id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,16730,0,317,103,194,72.0,344.0,1.028810739517212,0.9669710397720337,0,0,512,512
1,43525,276,243,179,268,376.0,504.0,1.0276364088058472,0.9770438075065613,0,0,512,512
2,43699,276,158,197,353,280.0,488.0,1.0127203464508057,0.9776542782783508,0,0,512,512
3,4932,456,422,55,89,488.0,504.0,1.0079277753829956,0.9862765073776245,0,0,512,512
4,1815,36,167,51,55,40.0,200.0,1.0043549537658691,0.9901153445243835,0,0,512,512
5,13858,0,155,475,154,456.0,184.0,1.0041205883026123,0.9687544107437134,0,0,512,512
6,4750,232,51,93,88,296.0,104.0,1.0014338493347168,0.9872411489486694,0,0,512,512
7,15976,95,283,193,108,104.0,344.0,1.001407504081726,0.9913330674171448,0,0,512,512
8,3111,265,51,60,77,280.0,104.0,1.001057744026184,0.9875279664993286,0,0,512,512
9,3795,453,301,58,69,456.0,328.0,1.000546932220459,0.9851019382476807,0,0,512,512
10,7182,452,238,59,132,472.0,296.0,0.9983516931533813,0.9861859083175659,0,0,512,512
11,991,454,403,57,18,488.0,408.0,0.995035707950592,0.9869739413261414,0,0,512,512
12,2340,86,140,63,61,104.0,184.0,0.9940769076347351,0.9842820763587952,0,0,512,512
13,1199,0,0,51,43,24.0,24.0,0.9936509132385254,0.9941763877868652,0,0,512,512
14,1585,232,79,38,60,264.0,88.0,0.9934831857681274,0.9862155318260193,0,0,512,512
15,4096,89,384,192,27,216.0,408.0,0.9928324222564697,0.9722423553466797,0,0,512,512
16,968,235,139,30,40,248.0,152.0,0.9919860363006592,0.9887063503265381,0,0,512,512
17,3250,149,102,75,72,168.0,152.0,0.9917117357254028,0.9832470417022705,0,0,512,512
18,254,228,388,16,17,232.0,392.0,0.9905404448509216,0.9578543901443481,0,0,512,512
19,676,255,476,20,35,264.0,504.0,0.9904131293296814,0.9882179498672485,0,0,512,512
20,1347,0,495,102,16,8.0,504.0,0.9902001619338989,0.9743402004241943,0,0,512,512
