id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,50103,219,219,308,207,503.25,270.1875,1.042502522468567,0.9900097250938416,0,0,528,524
1,110186,0,22,527,351,8.25,270.1875,1.0291945934295654,0.9720631837844849,0,0,528,524
2,67990,0,373,527,149,503.25,466.6875,1.0130455493927002,0.9858797192573547,0,0,528,524
3,39872,0,0,527,132,519.75,122.8125,1.0079134702682495,0.9799412488937378,0,0,528,524
4,5212,463,334,64,92,519.75,368.4375,1.0039703845977783,0.9862805008888245,0,0,528,524
5,1118,296,239,49,29,305.25,253.8125,0.992926299571991,0.9902135133743286,0,0,528,524
6,4263,229,340,65,81,288.75,384.8125,0.9895285367965698,0.9793359637260437,0,0,528,524
7,1169,300,46,29,55,321.75,73.6875,0.98851478099823,0.9779474139213562,0,0,528,524
8,1993,359,228,65,40,371.25,253.8125,0.9870818257331848,0.9762140512466431,0,0,528,524
9,177212,0,23,527,499,57.75,352.0625,0.984403133392334,0.953787088394165,0,0,528,524
10,13899,343,227,115,152,437.25,352.0625,0.9832547903060913,0.9610636830329895,0,0,528,524
11,7779,263,238,85,140,272.25,302.9375,0.9828232526779175,0.9610978364944458,0,0,528,524
12,677,156,430,28,26,173.25,433.9375,0.9774916768074036,0.9639249444007874,0,0,528,524
13,1588,436,30,40,75,453.75,57.3125,0.9707016348838806,0.9540942907333374,0,0,528,524
14,2149,238,77,73,49,305.25,106.4375,0.9687768816947937,0.9683776497840881,0,0,528,524
15,70,33,149,10,8,41.25,155.5625,0.9687173962593079,0.9577465057373047,0,0,528,524
16,2358,433,223,94,39,453.75,237.4375,0.9661881923675537,0.9719430208206177,0,0,528,524
17,677,407,243,33,23,437.25,253.8125,0.9653722047805786,0.9824047088623047,0,0,528,524
18,1619,304,382,143,12,420.75,384.8125,0.9627395868301392,0.9768715500831604,0,0,528,524
19,393,0,352,24,18,8.25,368.4375,0.9581469297409058,0.9725685715675354,0,0,528,524
20,503,132,431,21,25,140.25,450.3125,0.9512742757797241,0.9764705896377563,0,0,528,524
21,186,40,323,16,15,41.25,335.6875,0.9423667192459106,0.963350772857666,0,0,528,524
22,31919,0,22,193,222,74.25,171.9375,0.9380103349685669,0.9504690170288086,0,0,528,524
23,2815,300,30,176,75,321.75,73.6875,0.9376164674758911,0.9650959968566895,0,0,528,524
24,82,516,266,11,7,519.75,270.1875,0.9347188472747803,0.9878048896789551,0,0,528,524
25,329,253,217,26,14,272.25,221.0625,0.9215814471244812,0.9588235020637512,0,0,528,524
26,139,240,283,21,13,255.75,286.5625,0.8986269235610962,0.9510489702224731,0,0,528,524
27,26,9,266,4,6,8.25,270.1875,0.8973417282104492,0.9615384340286255,0,0,528,524
28,68,186,262,8,9,189.75,270.1875,0.8853873610496521,1.0,0,0,528,524
