id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,43448,276,243,179,268,360.0,504.0,1.0334383249282837,0.9801638126373291,0,0,512,512
1,16746,0,317,103,194,88.0,360.0,1.0240514278411865,0.9640551805496216,0,0,512,512
2,4918,456,422,55,89,488.0,504.0,1.0140843391418457,0.9864646196365356,0,0,512,512
3,15801,95,284,192,107,184.0,312.0,0.9999069571495056,0.9827402234077454,0,0,512,512
4,13694,0,155,475,154,456.0,184.0,0.9997706413269043,0.9695292711257935,0,0,512,512
5,10389,440,0,71,152,488.0,56.0,0.9997272491455078,0.9847963452339172,0,0,512,512
6,3807,453,301,58,70,456.0,328.0,0.999661922454834,0.9848761558532715,0,0,512,512
7,1195,0,0,51,43,24.0,24.0,0.9956841468811035,0.9908333420753479,0,0,512,512
8,7174,452,238,59,132,472.0,296.0,0.9946424961090088,0.9858959913253784,0,0,512,512
9,991,454,403,57,18,488.0,408.0,0.9936062693595886,0.982053816318512,0,0,512,512
10,675,255,476,20,35,264.0,504.0,0.9929747581481934,0.9867452383041382,0,0,512,512
11,1345,0,495,102,16,8.0,504.0,0.9891213178634644,0.9742646813392639,0,0,512,512
12,1046,153,471,41,40,184.0,488.0,0.9885340929031372,0.9763705134391785,0,0,512,512
13,14721,0,0,351,185,8.0,152.0,0.9879213571548462,0.9781571626663208,0,0,512,512
14,201,236,471,19,10,248.0,472.0,0.9861229658126831,0.9900497794151306,0,0,512,512
15,15736,0,0,235,142,56.0,8.0,0.9858493804931641,0.9570738077163696,0,0,512,512
16,1913,453,369,58,34,504.0,392.0,0.9841375946998596,0.9921956062316895,0,0,512,512
17,1801,36,167,50,55,40.0,216.0,0.9833517074584961,0.9851321578025818,0,0,512,512
18,298,261,407,18,16,264.0,424.0,0.9820806980133057,0.9735973477363586,0,0,512,512
19,1102,25,43,50,53,56.0,72.0,0.9812085032463074,0.9793906807899475,0,0,512,512
20,574,153,494,41,17,168.0,504.0,0.979453444480896,0.9724612832069397,0,0,512,512
21,44047,276,158,197,353,296.0,488.0,0.979168176651001,0.9661384224891663,0,0,512,512
22,11673,123,411,137,100,216.0,504.0,0.9762938022613525,0.9647846221923828,0,0,512,512
23,471,492,481,19,24,504.0,488.0,0.975018322467804,0.9852941036224365,0,0,512,512
24,3439,110,384,170,27,248.0,392.0,0.9748427867889404,0.9633001685142517,0,0,512,512
25,862,91,457,24,54,104.0,472.0,0.9708900451660156,0.9815880060195923,0,0,512,512
26,628,233,481,21,30,248.0,504.0,0.9699333906173706,0.9716535210609436,0,0,512,512
27,372,75,476,18,23,88.0,488.0,0.9676927924156189,0.9840849041938782,0,0,512,512
28,87,99,435,10,8,104.0,440.0,0.9659921526908875,0.977011501789093,0,0,512,512
29,1444,196,414,46,34,216.0,424.0,0.9659652709960938,0.961198091506958,0,0,512,512
30,1184,75,424,26,75,88.0,472.0,0.9647568464279175,0.9758735299110413,0,0,512,512
31,344,106,394,21,16,120.0,408.0,0.9613688588142395,0.9797688126564026,0,0,512,512
32,3354,453,238,58,68,488.0,264.0,0.9605911374092102,0.9612018465995789,0,0,512,512
33,1971,91,410,34,101,120.0,424.0,0.9584859609603882,0.9621325135231018,0,0,512,512
34,1341,409,482,46,29,424.0,488.0,0.9574632048606873,0.9675993919372559,0,0,512,512
35,1965,254,408,25,103,264.0,472.0,0.9553354978561401,0.9768844246864319,0,0,512,512
36,1768,424,155,50,44,456.0,184.0,0.9548313617706299,0.9809523820877075,0,0,512,512
37,1097,111,412,24,99,120.0,488.0,0.9537835717201233,0.9720469117164612,0,0,512,512
38,649,13,194,23,37,24.0,200.0,0.9523346424102783,0.9623494148254395,0,0,512,512
39,2904,453,370,58,51,472.0,392.0,0.9503995180130005,0.9782460927963257,0,0,512,512
40,505,36,181,21,41,40.0,200.0,0.9497396349906921,0.9649122953414917,0,0,512,512
41,1069,122,141,27,49,136.0,184.0,0.9489747881889343,0.9740740656852722,0,0,512,512
42,780,79,424,22,52,88.0,472.0,0.9454725384712219,0.9598494172096252,0,0,512,512
43,1053,93,151,30,46,104.0,184.0,0.945250928401947,0.9664492011070251,0,0,512,512
44,993,2,194,34,44,8.0,232.0,0.9423860311508179,0.971230149269104,0,0,512,512
45,1090,372,359,21,55,376.0,408.0,0.942112386226654,0.9657348990440369,0,0,512,512
46,312,122,0,29,19,136.0,8.0,0.9416082501411438,0.9651898741722107,0,0,512,512
47,3021,0,167,86,71,56.0,216.0,0.9388549327850342,0.9764166474342346,0,0,512,512
48,131,260,438,14,9,264.0,440.0,0.9379894733428955,0.9624060392379761,0,0,512,512
49,346,0,322,11,50,8.0,328.0,0.9364211559295654,0.9686609506607056,0,0,512,512
50,2640,325,55,38,89,344.0,120.0,0.9349634647369385,0.9535488486289978,0,0,512,512
51,957,98,410,27,48,120.0,424.0,0.9322271347045898,0.9701030850410461,0,0,512,512
52,33,340,260,5,6,344.0,264.0,0.9301117658615112,0.9696969985961914,0,0,512,512
53,172,208,457,11,16,216.0,472.0,0.9293267130851746,0.982758641242981,0,0,512,512
54,2927,447,145,64,76,488.0,200.0,0.9288037419319153,0.951634407043457,0,0,512,512
55,3047,24,0,75,97,56.0,88.0,0.9264386892318726,0.950127899646759,0,0,512,512
56,41,206,278,11,3,216.0,280.0,0.9260114431381226,1.0,0,0,512,512
57,188,85,424,16,12,88.0,424.0,0.9238027930259705,0.9788359999656677,0,0,512,512
58,49,205,278,12,4,216.0,280.0,0.9203953742980957,0.9800000190734863,0,0,512,512
59,75,210,399,8,9,216.0,408.0,0.9202927350997925,0.9868420958518982,0,0,512,512
60,1771,182,104,45,63,200.0,120.0,0.917212188243866,0.9508558511734009,0,0,512,512
61,532,460,499,51,12,488.0,504.0,0.9072107672691345,0.9593345522880554,0,0,512,512
